Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
IC_4725,4092903485854098688,278.01267641842657,-19.211613047930825,1.6092964828537395,-1.5361602405252217,-6.027681347687002,15.810681,1.8311138
IC_4725,4092903618901913472,278.036421914787,-19.19085444508197,1.3607489991908892,-1.8717317489863723,-6.2409158401714615,17.891642,2.1896286
IC_4725,4092903653258672384,278.01192841340617,-19.197166446240388,1.6236162964857834,-2.077978973624801,-6.269508726128975,14.519142,1.4076252
IC_4725,4092903653258673792,278.0029213247409,-19.195964820554853,1.5445522147444533,-1.555831757389344,-6.082218803593268,13.430913,1.2176237
IC_4725,4092901699147779328,277.9155651900998,-19.253039454451557,1.442713925288884,-1.2766276831749843,-5.529409889272124,11.40235,0.67429066
IC_4725,4092903829451569280,277.9797306260437,-19.186900642011327,1.5105145987356108,-1.3045428267206414,-6.346214474832095,14.322984,1.3595438
IC_4725,4092903898171005312,278.0090228344061,-19.18392641748232,1.7721631036442071,-1.779456356163744,-5.911288746848161,16.603573,1.8287468
IC_4725,4092853492432923776,278.03395775960166,-19.32701755345885,1.528786582662811,-1.8185921015370548,-6.361125139349933,12.681393,0.8877363000000001
IC_4725,4092918501061493760,277.575507497974,-19.04107058672536,1.494313149212853,-1.5571666070376549,-6.3045946245448174,11.215906,0.4720725999999999
IC_4725,4092914270414625664,277.63153992975293,-19.103395114435312,1.5959306160632492,-1.6428353823876116,-6.064283534055528,16.315153,1.6650343
IC_4725,4092914304780430336,277.6457030405096,-19.11433193124161,1.7261655007752057,-1.7325162180503877,-5.882541150892286,17.608818,2.4075336
IC_4725,4092914407850451328,277.648217654674,-19.08983227945595,1.5556920169653552,-1.992610397700812,-6.125200642296702,10.40771,0.4019966
IC_4725,4092919458731991680,277.76954907526925,-19.09422722461629,1.5108939855057142,-1.4613046394948093,-5.991121663185012,11.637888,0.5756406999999999
IC_4725,4092919355655959552,277.73044726476616,-19.080581409089973,1.4519987784272692,-1.3176724831474007,-6.126574828081241,12.169288,0.7627859
IC_4725,4092919012058492800,277.7727552615429,-19.114976104204803,1.4465254601174973,-1.8721046656144973,-6.5586943772565816,15.377541,1.5442505
IC_4725,4092908021339819392,277.9412335180434,-19.11238338155545,1.5539432445349732,-1.422671037465941,-6.2322790429993145,13.600447,1.2467747
IC_4725,4092918840256701952,277.72899679919084,-19.14840644649829,1.4805721131048508,-1.3624477442616798,-6.207360179545487,11.390179,0.59877396
IC_4725,4092908021339822208,277.9430274817619,-19.108752811984303,1.4045401126865862,-1.659129789824194,-6.0023593916168645,9.957161,0.6209097
IC_4725,4092908055699577344,277.9234427585076,-19.11480471405607,1.5084080086061549,-1.3602273231380575,-5.461185405954993,9.575759,0.525671
IC_4725,4092908090059318016,277.9264870620595,-19.110295594320053,1.5624670385589383,-1.5328372334439495,-6.1324491835904125,16.884972,1.8185205
IC_4725,4092908223102047360,277.88233332291315,-19.10153813163644,1.4833833226481137,-1.3611834707402548,-6.4759633214739365,11.800192,0.6443814999999999
IC_4725,4092908227498327680,277.88806376752893,-19.107063538712303,1.6769635182079683,-1.8487469009577768,-5.769461823337911,15.287447,1.515728
IC_4725,4092908257461785856,277.90641445667114,-19.103960965139,1.532583600141407,-1.7607159824313616,-5.9563985536493815,11.112746,0.5984745
IC_4725,4092908429262449792,277.95720362627765,-19.09856742643239,1.5581584588438977,-2.0114992587171443,-6.315539661201254,15.897292000000002,1.6867743000000002
