Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
NGC_2632,659621287774882176,128.5749939168192,18.470916386722745,5.343209301844729,-34.97782083443974,-11.863059537699847,17.658617,2.9735412999999995
NGC_2632,659612285523485056,128.8402247884369,18.49277907607757,5.270061075757363,-34.23803044294249,-12.16805707990788,15.851398,2.4586115
NGC_2632,659561604909477632,129.09744323957707,18.40579129920255,5.229322468180233,-34.69532554811052,-11.832002312660949,15.176469,2.1840477000000003
NGC_2632,659559783843349120,129.13112960266878,18.315227174713502,5.4846610753937615,-33.88704380429812,-12.201805108208127,17.073936,3.0429697
NGC_2632,659559027929113728,128.97024549064872,18.314085309301287,5.441295971371463,-36.64922714448552,-12.196299078497557,15.829994,2.4992704
NGC_2632,659558993569374848,128.99646563159777,18.30818224271452,5.346680949302182,-34.737447960105946,-11.711268682273928,15.763354,2.4085903
NGC_2632,661838281173303808,131.05116375689153,20.716862469445022,5.7227828955830455,-37.13291302612557,-13.454747637966893,17.699846,3.1295147
NGC_2632,659656094190005376,129.2237712478763,18.49580208159,5.370228145288067,-34.840176952564285,-11.68185784339854,13.486948000000002,1.5429888
NGC_2632,661340614723243392,130.86481055968707,19.827863579719978,5.391659642118597,-36.13472704222145,-12.093396342740212,16.76435,2.8458033
NGC_2632,662794169095142912,128.83086761428237,19.590010645609592,5.208796714652371,-34.494435612084715,-12.304768378346669,6.398721,0.8574681000000001
NGC_2632,662917726713395968,127.82040056269184,19.355424439592657,6.382260996781016,-36.73463293332168,-12.601760386321793,17.51896,
NGC_2632,662796814795084160,129.129931936369,19.592550450366005,5.22085126254493,-35.349239906336386,-12.466329587743898,16.834274,2.7256737
NGC_2632,662797806930496256,129.05857762295463,19.621441484737264,5.341884655240864,-34.17392129692859,-13.079269476493886,12.32316,1.1409521
NGC_2632,662799009521584640,128.9469361213994,19.58955747829812,5.041412482436387,-35.8481030060581,-13.827135019461002,17.40716,2.8493462000000003
NGC_2632,663981126257232768,127.36638098312852,21.14392613646459,5.319859741517369,-33.962258995469256,-14.257066239567587,15.088142,2.1557846
NGC_2632,664164607259059328,126.39871710676702,21.102302414714,5.608512239752653,-33.804968917988184,-14.68443136903656,17.24237,2.9155207
NGC_2632,661768771422658688,131.35811949751357,20.427334551976344,5.513357748694867,-36.0196249082385,-13.703500177665957,13.66073,1.6804332999999998
NGC_2632,661767293953914240,131.28046129035312,20.39491955841711,5.425288327625336,-37.14827091051409,-14.336680351134422,11.718737,0.9892378
NGC_2632,661362055200029056,131.07143917004493,19.865324148531872,5.36005179792079,-36.9633129538372,-12.3084456388823,13.947892,1.7242785
NGC_2632,661355934869899648,130.88576136814615,19.992460041293285,5.721005501961009,-37.02783085250146,-13.293871998297426,16.786312,2.828268
NGC_2632,661347727189029504,130.49712535925366,19.745794585392307,5.342599462226931,-36.63158551350161,-11.758474405554258,15.253603,2.2561474
NGC_2632,661348517463001216,130.564399540109,19.815950966552546,5.375052647996067,-37.04995439341268,-13.482859291397949,16.276970000000002,2.6121435
NGC_2632,661350750845994240,130.55665560853222,19.83568454535886,5.413474899225236,-37.163571899213295,-13.603520940160523,15.478314,2.3081112
NGC_2632,661351850357695616,130.77778158828792,19.791527170717927,5.3351513195570055,-35.67311889163716,-12.47086698438192,13.235210999999998,1.4665613000000002
NGC_2632,661353224747228544,130.71768485393906,19.862703089242387,5.401465247818661,-37.8168295036595,-11.347381237966928,15.853858,2.5980902
NGC_2632,661353224747229184,130.7177916320263,19.853052697749533,5.849576915531213,-36.11857152339462,-13.294348805303422,17.883488,-0.16771698
NGC_2632,663055818503513088,128.2174868499892,19.976600756321908,5.3776636467927466,-34.439894259595555,-13.81019522964289,12.7360115,1.2828369
NGC_2632,663050527103803136,128.35242436928422,19.88266520636382,5.377232058680075,-36.71693616110055,-13.36086768010878,16.740978,2.9801388
NGC_2632,663044514149509888,128.00768475327894,19.97971076893657,5.398604053553751,-34.77993316963385,-14.020497324928437,17.106904999999998,2.882451
NGC_2632,661297901272035456,130.1168975047447,19.726188816802825,5.1048845487119685,-35.1209795899744,-13.437921736400106,17.72634,-0.09329033
NGC_2632,661296565539900544,130.01020479475915,19.676437859903928,5.403945749016748,-35.62148205397615,-12.867070917419008,16.60298,2.691328
NGC_2632,661297080936069632,130.09186119652347,19.669876678816248,5.400554534145398,-36.07357468680189,-14.09340061737345,6.1590004,1.1381588
