Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
IC_4651,5949565724123715840,261.17837787793053,-49.93240209212117,1.0838291390122707,-2.2741463949753644,-5.399538498433109,14.358048000000002,0.9873495
IC_4651,5949565758483461504,261.18852161972734,-49.92188582188668,1.1178416381048586,-2.537091072339727,-5.201488788245884,17.01086,1.7257519
IC_4651,5949565724123713408,261.1915362154861,-49.93021211281288,1.017897100720691,-2.2360786263675565,-4.90464717984333,15.34758,1.1604709999999998
IC_4651,5949565719794250368,261.2009421620201,-49.93637595334536,1.0991788795552868,-2.365797011513379,-5.425091744148643,12.313535,0.7375889
IC_4651,5949565621044518912,261.14664304151603,-49.92468022159476,1.1019901020741434,-2.18823002199703,-4.7763082581464325,15.959058,1.2269411
IC_4651,5949565621044529664,261.1391542680312,-49.91560273064382,1.0926502225891783,-2.503287424993354,-4.868835237480238,10.009822,1.4700661
IC_4651,5949565758483467264,261.19018103144174,-49.91687592601631,1.1254117516749482,-2.487619871622444,-4.885550108956101,12.154897,0.75028706
IC_4651,5949565376200721280,261.1692803107071,-49.94772985433654,1.0993226171102113,-2.1186555714079938,-5.030842135618912,17.438347,1.7143288
IC_4651,5949565724123719296,261.181394107267,-49.92847744641547,0.97086702191267,-2.6080938604277426,-5.273628380781922,17.641298000000006,1.8568039
IC_4651,5949565719794249216,261.18744823325454,-49.93284564334922,1.0788831786250463,-2.5182440428374746,-5.155294224178789,11.911542,0.814353
IC_4651,5949565307477396480,261.19322842059256,-49.96836135986582,1.0247271509763352,-2.466074653179459,-4.951648254608617,12.175715,0.7753868
IC_4651,5949565582355297152,261.13746612934057,-49.93801701723535,1.0612091386805125,-2.163744870470196,-5.085910289487052,12.582272,0.71718216
IC_4651,5949565754159745024,261.1871891917733,-49.91926821455082,1.1271192961928895,-2.4500335169891496,-5.007569303105138,11.698844,0.72108364
IC_4651,5949565758452304384,261.1956053691049,-49.92886858424304,1.129239797367028,-2.1939678373243856,-5.079345455650882,13.956303,
IC_4651,5949565616715032192,261.1405570086,-49.91982827074051,1.1261968652820236,-2.3033629804523152,-4.944334138833148,11.979058,0.8053732
IC_4651,5949565758483459200,261.20043316441127,-49.921178877567606,1.0559675646503242,-2.3808927685253263,-5.026161346358267,15.999716,1.2805214
IC_4651,5949565341837129728,261.1939385829036,-49.94324822574147,1.0503471982272663,-2.4361929807168465,-4.984455090671104,12.471892,0.72492886
IC_4651,5949566510068939904,261.05851764027994,-49.886037221112936,1.1153268760955013,-2.4173778221369915,-5.107685761278186,15.224954,1.0676279
IC_4651,5949565346166584192,261.17801138605216,-49.94200623532736,1.0221723477635616,-2.703027364910612,-5.24575844832016,16.3796,1.3322802
IC_4651,5949565376196868608,261.16474704991026,-49.94450618591648,1.1256316303968017,-2.6231475122561263,-5.131920321318743,12.98909,0.75858974
IC_4651,5949566514397789312,261.0633118542615,-49.875815988055535,0.8738122377012082,-2.3750333820176537,-4.876534932191214,17.50149,1.7475567
IC_4651,5949566136440640000,261.1441916331201,-49.88004935986093,1.0355414784963772,-2.483198753448127,-4.808051303585,12.60848,0.72752285
IC_4651,5949566548757512960,261.02709251975097,-49.90136615334308,1.074614919973461,-2.6512338621582114,-5.104795899878899,14.304966,0.87218
IC_4651,5949565754153986944,261.1964177795071,-49.92910305278576,1.070835964777116,-2.3807526193489785,-4.806878955407134,13.06328,0.7432194000000001
IC_4651,5949565380526327936,261.14845378413423,-49.94651016857502,1.1136092919619849,-2.419211760648196,-5.050382115302911,14.805814000000002,1.1268072
IC_4651,5949565410557121408,261.16619200007005,-49.936940313198726,0.9788053607691288,-2.304727827061153,-5.191990182291399,15.829278,1.1970577
IC_4651,5949566338269537152,261.0587060741056,-49.91772845349433,1.0212649089759245,-2.4676483015668023,-5.103887880726439,12.23408,0.71745014
IC_4651,5949385331168498560,261.71814428374626,-50.01496294572974,1.3030096014196644,-2.309686925423565,-4.921995271725439,16.763206,1.442112
IC_4651,5949385125009982976,261.7291664975871,-50.05179338736914,1.0324599682248004,-2.6968411216745305,-4.8987433628225965,16.677310000000002,1.4361048
IC_4651,5949384815773432192,261.618202790527,-50.01090921656753,1.6020439422638826,-2.6940350031310487,-4.3250394681245785,17.567455,1.7699909
IC_4651,5949384369095703808,261.660716023054,-50.06463374673702,1.062115631268984,-2.328607713314336,-4.8349568795320526,14.578366,0.90884876
IC_4651,5949384167252638336,261.6363743093809,-50.08341079784678,1.0650583792291723,-2.53749918269372,-5.20959666165046,15.239209,1.0420284
IC_4651,5949563967453343744,261.119791257511,-49.96716722272765,1.1878489555266736,-2.3305375843651577,-4.791965793741227,12.479235,0.719676
IC_4651,5949565380526340224,261.14932899305944,-49.933627893154885,1.0778579548640828,-2.479698766518,-4.841526969225462,13.116731,0.7884159000000001
IC_4651,5949565444916346496,261.1272770671296,-49.95142022402139,1.1096645467336204,-2.5078315385458816,-4.901421832928847,12.8849945,0.7084265000000001
IC_4651,5949565444916772224,261.134424865609,-49.96113812120743,1.071606129281964,-2.452977509903089,-5.045962233383344,16.185755,1.2823067
IC_4651,5949565479276084480,261.13938717539344,-49.949137801441296,1.101786970195492,-2.623868329385997,-4.828063914331836,12.090683,0.75599766
IC_4651,5949565483605546112,261.137494785672,-49.9457725922333,1.0425026648479154,-2.309899080380116,-5.177455170879137,13.976652,0.81169033
IC_4651,5949565547999745152,261.1135710759708,-49.93865387873917,1.1866885197142572,-2.504280515386621,-4.84151379097335,17.865305,1.8809376
IC_4651,5949565582355296256,261.12541543398726,-49.934285259094885,1.0911767703103643,-2.4019654931849943,-4.90075895098246,12.251564,0.7645683000000001
IC_4651,5949566166471570560,261.15826574850195,-49.883507418960754,1.119708283263815,-2.423939719158647,-5.330729028736895,15.071379,1.1928911
IC_4651,5949565827202948992,261.1765370169986,-49.91557024146054,1.0079384822056148,-2.0986337595657885,-4.668508995652009,17.790651,1.817749
IC_4651,5949566170800375168,261.16069555491646,-49.87836136438029,1.399950601329838,-2.3203071568277776,-5.091429971503104,17.015757,1.5736065
IC_4651,5949566205160127744,261.120519517311,-49.87358735659244,1.157021781241063,-2.382197390306248,-5.172476595833286,14.5255375,0.9293957
IC_4651,5949566441348747776,261.0851749654644,-49.89390486192692,1.076783529571078,-2.2358613012983155,-5.161914410453772,12.635964,0.7223406
IC_4651,5949565586684786688,261.1258551956389,-49.9247956612899,1.0286895238097324,-2.6688892430783806,-5.0533567653860185,15.881554,1.217372
IC_4651,5949385915284157184,261.7311693044533,-49.96295797771543,0.9773685140158652,-2.5503973204673867,-5.146062784046952,17.02115,1.584938
IC_4651,5949564723362262016,261.05219082077383,-49.95917329424479,1.173773158933209,-2.438133771063111,-5.131897564435947,17.069727,1.5777302
IC_4651,5949564040496538368,261.1039666103173,-49.95319986488159,0.9615606673136134,-2.391442780397231,-5.039910098343576,14.6408615,1.0836544
IC_4651,5949564796410782848,261.09166715067863,-49.95659691141936,1.0639894008938668,-2.278264134415521,-5.0290471053593,13.211206,0.7293234000000001
IC_4651,5949565170038446592,261.17304705487675,-49.98515277568709,1.1164881648059424,-2.3919936611984043,-4.923749723046488,10.029969,1.2704706
IC_4651,5949565140008231040,261.0196691469677,-49.91371328000312,0.9622701294194248,-2.420262811743035,-4.998896292120278,17.022459,1.7852306
IC_4651,5949565140007598848,261.0021550578084,-49.91073250475568,1.0952148455291173,-2.8092609379574887,-4.80028907884642,16.711527,1.4656506
IC_4651,5949565140007592960,261.0089623238889,-49.91478420875622,1.1455043249221182,-2.5433180071182218,-5.045368018150528,12.551458,0.7163744000000001
IC_4651,5949565135679315712,261.01143041989064,-49.9074041258228,1.1161417802098534,-2.6063718896012915,-5.020570723493513,16.267286,1.339941
IC_4651,5949565105647840768,261.0164736993632,-49.92810311107606,1.0962807823485068,-2.4611924454790017,-5.322427428592111,14.594015,0.9273758
IC_4651,5949565101318956416,260.9968658524739,-49.92024799662114,1.0835877736101909,-2.671301301391124,-4.8095917208902526,12.606133,0.75691795
