Cluster,source_id,ra,dec,parallax,pmra,pmdec,phot_g_mean_mag,bp_rp
Berkeley_39,3056679163157114752,116.71873047903152,-4.687407473167234,0.2227983891768076,-1.7949744243928594,-1.6253743670383451,14.101251,1.4022408000000002
Berkeley_39,3056680258369026560,116.85083533498305,-4.66252054112892,0.0793378683542299,-1.78014382018253,-1.6008576520371725,17.497345000000006,0.9210777
Berkeley_39,3056680297028411136,116.85809736884552,-4.647056007111653,0.28049546202164,-1.7017453952130863,-1.6862597561417252,16.546217000000002,0.9658861
Berkeley_39,3056680842484592640,116.76945520368844,-4.654874887958953,0.239476302832277,-1.6070091946683878,-1.7716037739935862,17.485714,0.99835014
Berkeley_39,3056680327088518528,116.84272594474298,-4.6532919803911765,-0.0922625792442106,-1.8765840059439285,-1.5329647426492683,17.627146,0.94044495
Berkeley_39,3056680739405442816,116.84521268881772,-4.615533570512324,0.3357587100810926,-1.7252428544165317,-1.7197526387426003,17.211645,0.9523945
Berkeley_39,3056680193949357824,116.80069499528878,-4.648543803979725,0.2126844408959642,-1.8370918547962387,-1.7211754639051529,17.438982,0.98752403
Berkeley_39,3056680773765211264,116.8536844598345,-4.59820457605003,0.5125022838544688,-1.6928027926477858,-1.5398820995975204,17.744307,0.9480133
Berkeley_39,3056680812424515584,116.76575818873889,-4.653949251910987,0.2455997258181035,-1.6424947039975506,-1.6567929669331405,14.130698,1.4355345
Berkeley_39,3056681151722265344,116.73175456915344,-4.637743528520334,0.1559649032322933,-1.6993269737257577,-1.3941044430597465,17.706108,0.90867805
Berkeley_39,3056681156021898624,116.7291701256826,-4.628729014266132,0.0974186235146928,-1.9776477664879195,-1.469454755433368,16.157269,1.252471
Berkeley_39,3056681705777687936,116.7705629260988,-4.595126116387752,0.2304338815367366,-1.6050018925798797,-1.6302105080222058,15.223635,1.3355417
Berkeley_39,3056680743704994944,116.84800697202776,-4.611184103601322,0.3251232670871652,-1.6437030234186996,-1.853980021594945,17.53986,1.0094261
Berkeley_39,3056680159589469184,116.81977684302149,-4.654207457366762,0.2476910972149136,-1.7389650965870336,-1.5857559574098956,13.930766,1.3394012
Berkeley_39,3056680159589466880,116.82272056187098,-4.649050976449918,0.411925334956861,-1.868878662918912,-2.0822758319371983,17.849293,1.068943
Berkeley_39,3056680812424515072,116.76283784400376,-4.651673626906238,0.3492241298034899,-1.9332782254896368,-1.490147206534329,17.432493,0.9765301
Berkeley_39,3056680812424520320,116.7638699957788,-4.662111196621791,0.1943335270717766,-1.6492578705826062,-1.6704099134337822,15.473726999999998,1.4181671
Berkeley_39,3056679369315520128,116.73086152610271,-4.660856951919837,0.2973953219675248,-1.7311950044931217,-1.495469297300435,16.876501,0.9429817
Berkeley_39,3056679609833686400,116.7317283848768,-4.656671935346181,0.2377537815532782,-1.710065530936649,-1.6679991515563424,15.206727,0.4774475
Berkeley_39,3056679266236316288,116.72778183299693,-4.6760500832119964,0.1725497376311756,-1.7363263947328558,-1.595892522463991,17.525724,0.95770454
Berkeley_39,3056679266236321024,116.7173926764386,-4.6742404549512,0.2059529963729031,-1.4908032972980991,-1.5769126552146684,16.749838,0.7762871
Berkeley_39,3056679266236322816,116.71308525051556,-4.674793775195639,0.2068084803830742,-1.7200366588996734,-1.6440409848651454,14.369937,1.4884901
Berkeley_39,3056679266236323072,116.717492448804,-4.678108192577659,0.1741149176759438,-1.764559056877634,-1.633552187589261,14.55805,1.4180365
Berkeley_39,3056679266236323200,116.71892098702008,-4.678236226046089,0.2066264680716828,-1.452070431621319,-1.8991450549533693,16.745817000000002,0.97867393
Berkeley_39,3056679266236323840,116.71187263560572,-4.674195178689648,0.2656909605907053,-1.7853752481080476,-1.6824119456516766,15.433438,1.3796177
Berkeley_39,3056679266236324352,116.7215705989934,-4.681259091317639,0.260135289467747,-1.8504054724140075,-1.858251794652468,16.663996,1.2842455
Berkeley_39,3056679369315521024,116.73239559358892,-4.663521601198883,0.250848315052232,-1.7524968639202445,-1.5557239365443285,16.40095,1.2843351
